County,Life Expectancy
"Alameda County, CA",80.84585798816569
"Allegheny County, PA",77.23613445378145
"Ascension Parish, LA",78.4
"Beaver County, PA",77.20399999999998
"Butler County, PA",78.86744186046512
"Contra Costa County, CA",80.81333333333333
"East Baton Rouge Parish, LA",74.96543209876539
"East Feliciana Parish, LA",76.0
"Iberville Parish, LA",74.02857142857142
"Livingston Parish, LA",76.03999999999999
"Marin County, CA",83.38823529411765
"Napa County, CA",81.33333333333334
"Pointe Coupee Parish, LA",76.93333333333334
"San Francisco County, CA",81.78636363636367
"San Mateo County, CA",82.73947368421052
"Santa Clara County, CA",82.653125
"Solano County, CA",78.8011235955056
"Sonoma County, CA",80.59052631578949
"St. Helena Parish, LA",74.75
"Washington County, PA",76.98596491228072
"West Baton Rouge Parish, LA",76.62
"West Feliciana Parish, LA",77.15
"Westmoreland County, PA",77.95510204081634
