State,County,Life Expectancy
California,"Alameda County, CA",87.2
California,"Alameda County, CA",81.5
California,"Alameda County, CA",87.2
California,"Alameda County, CA",82.9
California,"Alameda County, CA",78.8
California,"Alameda County, CA",78.6
California,"Alameda County, CA",80.1
California,"Alameda County, CA",76.9
California,"Alameda County, CA",74.5
California,"Alameda County, CA",77.5
California,"Alameda County, CA",80.3
California,"Alameda County, CA",80.0
California,"Alameda County, CA",75.8
California,"Alameda County, CA",73.5
California,"Alameda County, CA",77.3
California,"Alameda County, CA",77.6
California,"Alameda County, CA",77.6
California,"Alameda County, CA",76.6
California,"Alameda County, CA",78.1
California,"Alameda County, CA",75.4
California,"Alameda County, CA",77.5
California,"Alameda County, CA",76.0
California,"Alameda County, CA",79.6
California,"Alameda County, CA",81.1
California,"Alameda County, CA",80.0
California,"Alameda County, CA",84.5
California,"Alameda County, CA",81.9
California,"Alameda County, CA",80.0
California,"Alameda County, CA",79.4
California,"Alameda County, CA",80.7
California,"Alameda County, CA",84.4
California,"Alameda County, CA",83.8
California,"Alameda County, CA",86.9
California,"Alameda County, CA",82.5
California,"Alameda County, CA",82.7
California,"Alameda County, CA",79.7
California,"Alameda County, CA",84.2
California,"Alameda County, CA",83.3
California,"Alameda County, CA",83.5
California,"Alameda County, CA",86.1
California,"Alameda County, CA",82.4
California,"Alameda County, CA",84.0
California,"Alameda County, CA",82.5
California,"Alameda County, CA",85.2
California,"Alameda County, CA",85.8
California,"Alameda County, CA",81.3
California,"Alameda County, CA",82.4
California,"Alameda County, CA",84.9
California,"Alameda County, CA",80.0
California,"Alameda County, CA",79.5
California,"Alameda County, CA",80.8
California,"Alameda County, CA",76.0
California,"Alameda County, CA",78.7
California,"Alameda County, CA",78.2
California,"Alameda County, CA",76.4
California,"Alameda County, CA",76.6
California,"Alameda County, CA",77.9
California,"Alameda County, CA",77.7
California,"Alameda County, CA",77.9
California,"Alameda County, CA",76.2
California,"Alameda County, CA",75.3
California,"Alameda County, CA",77.4
California,"Alameda County, CA",82.3
California,"Alameda County, CA",72.5
California,"Alameda County, CA",81.1
California,"Alameda County, CA",77.9
California,"Alameda County, CA",80.4
California,"Alameda County, CA",83.3
California,"Alameda County, CA",79.7
California,"Alameda County, CA",78.2
California,"Alameda County, CA",77.1
California,"Alameda County, CA",80.2
California,"Alameda County, CA",81.6
California,"Alameda County, CA",78.5
California,"Alameda County, CA",73.9
California,"Alameda County, CA",78.3
California,"Alameda County, CA",71.7
California,"Alameda County, CA",74.2
California,"Alameda County, CA",78.1
California,"Alameda County, CA",82.3
California,"Alameda County, CA",83.3
California,"Alameda County, CA",79.5
California,"Alameda County, CA",82.4
California,"Alameda County, CA",76.8
California,"Alameda County, CA",77.9
California,"Alameda County, CA",75.3
California,"Alameda County, CA",72.8
California,"Alameda County, CA",76.7
California,"Alameda County, CA",76.4
California,"Alameda County, CA",74.0
California,"Alameda County, CA",74.2
California,"Alameda County, CA",74.6
California,"Alameda County, CA",75.7
California,"Alameda County, CA",73.8
California,"Alameda County, CA",76.2
California,"Alameda County, CA",76.2
California,"Alameda County, CA",75.2
California,"Alameda County, CA",75.3
California,"Alameda County, CA",72.9
California,"Alameda County, CA",81.0
California,"Alameda County, CA",83.2
California,"Alameda County, CA",81.7
California,"Alameda County, CA",76.4
California,"Alameda County, CA",73.6
California,"Alameda County, CA",75.5
California,"Alameda County, CA",78.7
California,"Alameda County, CA",72.3
California,"Alameda County, CA",82.0
California,"Alameda County, CA",83.6
California,"Alameda County, CA",81.9
California,"Alameda County, CA",81.3
California,"Alameda County, CA",83.5
California,"Alameda County, CA",92.6
California,"Alameda County, CA",86.2
California,"Alameda County, CA",86.0
California,"Alameda County, CA",81.2
California,"Alameda County, CA",87.2
California,"Alameda County, CA",88.3
California,"Alameda County, CA",85.8
California,"Alameda County, CA",85.7
California,"Alameda County, CA",84.6
California,"Alameda County, CA",79.9
California,"Alameda County, CA",77.6
California,"Alameda County, CA",84.7
California,"Alameda County, CA",85.7
California,"Alameda County, CA",80.4
California,"Alameda County, CA",81.5
California,"Alameda County, CA",77.0
California,"Alameda County, CA",83.8
California,"Alameda County, CA",81.3
California,"Alameda County, CA",78.5
California,"Alameda County, CA",80.6
California,"Alameda County, CA",80.3
California,"Alameda County, CA",81.0
California,"Alameda County, CA",88.6
California,"Alameda County, CA",87.7
California,"Alameda County, CA",80.9
California,"Alameda County, CA",81.5
California,"Alameda County, CA",76.5
California,"Alameda County, CA",79.1
California,"Alameda County, CA",81.0
California,"Alameda County, CA",80.9
California,"Alameda County, CA",80.9
California,"Alameda County, CA",80.0
California,"Alameda County, CA",82.2
California,"Alameda County, CA",80.9
California,"Alameda County, CA",79.9
California,"Alameda County, CA",78.0
