,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,Median Household Income (2019),% of State Median HH Income
22000,Louisiana,7.8,7.1,6.7,6.4,6.3,6.1,5.1,4.9,4.8,"$51,108",100.0%
22001,"Acadia Parish, LA",6.7,6.0,6.0,5.8,6.9,7.4,5.9,5.4,5.3,"$44,728",87.5%
22003,"Allen Parish, LA",9.1,8.0,7.5,7.2,7.0,6.4,5.3,5.7,5.7,"$47,111",92.2%
22005,"Ascension Parish, LA",7.0,6.1,5.6,5.3,5.1,4.9,4.3,4.1,4.1,"$83,072",162.5%
22007,"Assumption Parish, LA",12.1,9.7,8.3,7.7,7.9,8.4,7.3,6.6,6.1,"$51,763",101.3%
22009,"Avoyelles Parish, LA",8.4,7.6,7.5,7.2,7.5,7.1,6.1,5.7,5.8,"$38,316",75.0%
22011,"Beauregard Parish, LA",8.2,7.5,7.4,6.8,6.3,6.1,5.3,5.3,5.2,"$55,343",108.3%
22013,"Bienville Parish, LA",10.1,9.0,8.7,7.9,8.3,7.6,6.0,5.8,5.9,"$37,198",72.8%
22015,"Bossier Parish, LA",5.9,5.8,6.0,5.7,5.7,5.3,4.5,4.3,4.3,"$54,080",105.8%
22017,"Caddo Parish, LA",7.9,7.7,7.9,7.4,7.2,6.6,5.8,5.5,5.4,"$45,613",89.2%
22019,"Calcasieu Parish, LA",7.7,6.9,6.5,5.9,5.4,4.8,4.0,3.8,4.1,"$53,050",103.8%
22021,"Caldwell Parish, LA",10.0,8.7,8.2,7.7,8.3,7.6,5.7,5.7,6.1,"$44,007",86.1%
22023,"Cameron Parish, LA",5.8,5.2,5.3,4.9,4.7,4.4,3.6,3.5,3.8,"$60,317",118.0%
22025,"Catahoula Parish, LA",10.3,8.9,8.5,8.1,9.6,9.3,7.1,6.7,6.4,"$36,794",72.0%
22027,"Claiborne Parish, LA",8.3,7.4,7.5,7.4,7.3,6.7,5.3,5.2,5.7,"$36,497",71.4%
22029,"Concordia Parish, LA",9.6,8.8,8.5,8.6,8.7,8.3,7.8,6.9,6.5,"$36,276",71.0%
22031,"De Soto Parish, LA",8.5,9.0,8.8,8.1,8.0,7.3,6.1,5.7,6.0,"$47,347",92.6%
22033,"East Baton Rouge Parish, LA",7.6,6.7,6.2,5.7,5.4,5.2,4.4,4.3,4.4,"$56,303",110.2%
22035,"East Carroll Parish, LA",18.1,20.0,16.9,14.6,14.1,11.6,11.1,10.2,10.6,"$29,943",58.6%
22037,"East Feliciana Parish, LA",8.5,7.5,6.9,6.4,6.0,5.8,4.8,4.6,4.6,"$50,041",97.9%
22039,"Evangeline Parish, LA",8.4,7.4,6.8,6.8,7.5,7.4,5.9,5.7,5.9,"$35,146",68.8%
22041,"Franklin Parish, LA",11.7,10.4,10.1,9.4,9.7,9.1,7.5,7.2,7.2,"$35,484",69.4%
22043,"Grant Parish, LA",8.4,7.9,7.3,7.1,7.3,7.0,6.3,5.8,5.8,"$49,544",96.9%
22045,"Iberia Parish, LA",7.9,6.8,6.5,6.3,8.1,9.4,7.3,5.9,5.4,"$47,731",93.4%
22047,"Iberville Parish, LA",10.4,9.4,8.3,7.8,7.3,6.9,6.2,6.2,5.9,"$55,198",108.0%
22049,"Jackson Parish, LA",7.4,6.8,6.5,5.9,6.0,5.6,4.5,4.6,4.7,"$43,232",84.6%
22051,"Jefferson Parish, LA",7.2,6.7,6.3,6.0,5.8,5.3,4.5,4.4,4.2,"$55,909",109.4%
22053,"Jefferson Davis Parish, LA",7.2,6.5,6.2,5.9,6.2,6.0,4.9,4.7,4.7,"$47,988",93.9%
22055,"Lafayette Parish, LA",5.9,5.0,4.9,4.9,5.7,6.1,4.9,4.5,4.3,"$60,053",117.5%
22057,"Lafourche Parish, LA",6.1,5.3,4.9,4.8,5.4,6.3,5.2,4.7,4.5,"$54,145",105.9%
22059,"La Salle Parish, LA",5.7,5.1,5.0,5.2,6.9,6.6,4.7,4.3,4.3,"$51,014",99.8%
22061,"Lincoln Parish, LA",9.2,8.6,7.8,7.5,7.0,6.2,5.2,5.2,5.4,"$41,608",81.4%
22063,"Livingston Parish, LA",7.3,6.4,5.8,5.5,5.1,5.1,4.2,4.0,4.1,"$63,852",124.9%
22065,"Madison Parish, LA",12.7,12.1,11.0,11.1,9.3,9.0,8.1,8.3,8.1,"$32,229",63.1%
22067,"Morehouse Parish, LA",14.4,13.0,12.4,11.2,11.0,9.7,8.0,8.2,8.3,"$34,922",68.3%
22069,"Natchitoches Parish, LA",9.2,8.9,8.3,7.8,7.6,6.7,6.0,5.8,6.0,"$49,536",96.9%
22071,"Orleans Parish, LA",8.6,7.9,7.3,6.9,6.5,5.9,5.1,5.0,4.9,"$45,092",88.2%
22073,"Ouachita Parish, LA",8.3,7.7,7.2,7.0,6.7,6.1,5.3,5.1,5.3,"$43,235",84.6%
22075,"Plaquemines Parish, LA",6.3,5.9,5.7,5.7,5.6,5.4,4.7,4.6,4.3,"$60,795",119.0%
22077,"Pointe Coupee Parish, LA",9.1,8.2,7.6,7.0,6.6,6.5,5.6,5.4,5.4,"$48,011",93.9%
22079,"Rapides Parish, LA",7.7,7.0,6.9,6.7,6.5,6.2,5.6,5.3,5.1,"$49,687",97.2%
22081,"Red River Parish, LA",7.7,7.3,7.5,7.2,6.9,6.0,5.2,4.4,5.1,"$39,806",77.9%
22083,"Richland Parish, LA",10.9,9.7,9.6,8.7,8.7,7.4,6.1,6.2,6.3,"$39,586",77.5%
22085,"Sabine Parish, LA",7.1,7.0,6.8,6.5,7.1,6.9,5.5,5.2,5.1,"$45,486",89.0%
22087,"St. Bernard Parish, LA",8.5,8.0,7.4,6.9,6.6,6.1,5.2,5.0,4.9,"$45,806",89.6%
22089,"St. Charles Parish, LA",7.2,6.6,6.3,6.1,5.7,5.3,4.5,4.4,4.3,"$71,579",140.1%
22091,"St. Helena Parish, LA",13.7,12.1,11.3,10.0,9.1,7.7,6.6,6.5,6.1,"$43,376",84.9%
22093,"St. James Parish, LA",12.1,10.1,9.3,8.6,8.5,7.5,6.6,6.2,6.0,"$57,250",112.0%
22095,"St. John the Baptist Parish, LA",10.6,9.3,8.7,8.0,7.5,6.8,6.1,5.7,5.6,"$54,944",107.5%
22097,"St. Landry Parish, LA",9.4,8.3,7.8,7.6,8.0,8.1,6.7,6.2,6.3,"$39,599",77.5%
22099,"St. Martin Parish, LA",7.4,6.2,5.9,5.7,6.9,7.8,6.1,5.2,5.1,"$47,247",92.4%
22101,"St. Mary Parish, LA",8.9,7.5,6.6,6.3,7.6,9.4,7.9,6.5,5.9,"$40,918",80.1%
22103,"St. Tammany Parish, LA",6.3,5.9,5.7,5.7,5.4,5.0,4.3,4.2,4.2,"$71,526",140.0%
22105,"Tangipahoa Parish, LA",9.6,8.5,8.0,7.6,7.2,6.7,5.7,5.5,5.5,"$47,860",93.6%
22107,"Tensas Parish, LA",12.9,10.8,9.4,9.4,9.8,9.8,8.5,7.7,8.3,"$31,436",61.5%
22109,"Terrebonne Parish, LA",6.2,5.3,5.0,4.8,6.0,7.0,5.7,5.0,4.6,"$51,719",101.2%
22111,"Union Parish, LA",9.4,8.3,7.8,7.5,7.2,6.6,5.5,5.6,5.8,"$44,617",87.3%
22113,"Vermilion Parish, LA",6.6,5.7,5.6,5.6,6.9,7.6,6.0,5.3,5.1,"$50,193",98.2%
22115,"Vernon Parish, LA",9.0,8.3,8.8,8.5,7.8,7.2,6.5,6.5,6.2,"$51,652",101.1%
22117,"Washington Parish, LA",9.5,8.8,8.4,7.9,7.6,7.0,5.8,5.8,5.9,"$35,505",69.5%
22119,"Webster Parish, LA",10.1,9.6,9.6,8.7,8.8,8.5,6.9,6.1,6.1,"$38,386",75.1%
22121,"West Baton Rouge Parish, LA",7.8,6.9,6.1,5.8,5.6,5.3,4.6,4.4,4.5,"$65,344",127.9%
22123,"West Carroll Parish, LA",15.9,13.6,12.7,13.0,13.5,12.0,9.8,9.0,10.7,"$42,614",83.4%
22125,"West Feliciana Parish, LA",6.6,6.1,5.9,5.7,5.3,5.2,4.2,3.9,4.1,"$65,296",127.8%
22127,"Winn Parish, LA",9.4,8.5,8.2,7.5,8.5,7.8,6.4,6.2,6.3,"$43,166",84.5%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
